Date,Open,High,Low,Close,Volume,
24/09/2021,1743.7,1758,1740.2,1751.7,147736,
23/09/2021,1769.2,1777.1,1737.5,1749.8,220098,
22/09/2021,1775,1788.4,1764.6,1778.8,169937,
21/09/2021,1765.5,1782.8,1758.3,1778.2,139900,
20/09/2021,1754.2,1768.4,1742.3,1763.8,150573,
17/09/2021,1754.6,1767.8,1747.1,1751.4,180673,
16/09/2021,1795.5,1797.3,1745.5,1756.7,243613,
15/09/2021,1806.6,1808.5,1791.7,1794.8,137513,
14/09/2021,1794.8,1810.6,1780.6,1807.1,193835,
13/09/2021,1789.8,1800.2,1784.4,1794.4,110870,
10/09/2021,1796.2,1806,1788.2,1792.1,134148,
09/09/2021,1790.9,1803.4,1785.1,1800,152037,
08/09/2021,1796.1,1804.4,1783.1,1793.5,158104,
07/09/2021,1833.5,1833.5,1793.7,1798.5,248598,
03/09/2021,1811.5,1836.9,1810.9,1833.7,181932,
02/09/2021,1816.2,1819.6,1806.5,1811.5,111099,
01/09/2021,1816.7,1822.7,1810.6,1816,138802,
31/08/2021,1812.2,1821.9,1803.4,1818.1,162209,
30/08/2021,1821.6,1826.5,1810,1812.2,102579,
27/08/2021,1795.2,1821.9,1785.2,1819.5,198760,
26/08/2021,1793,1800.4,1781.3,1795.2,131078,
25/08/2021,1805.1,1805.3,1784,1791,160525,
24/08/2021,1807.6,1812.2,1802.6,1808.5,112953,
23/08/2021,1781.2,1809.1,1778,1806.3,150238,
20/08/2021,1782.8,1791,1780,1784,106495,
19/08/2021,1789.5,1795,1774.6,1783.1,147534,
18/08/2021,1787.8,1795.7,1778.8,1784.4,131190,
17/08/2021,1789.1,1797.6,1782.1,1787.8,142476,
16/08/2021,1780.9,1791.3,1772,1789.8,133821,
13/08/2021,1754.4,1781.9,1753,1778.2,140689,
12/08/2021,1752.9,1759.6,1742.6,1751.8,133990,
11/08/2021,1730.4,1756.7,1724.6,1753.3,181306,
10/08/2021,1732,1739.4,1718.5,1731.7,178253,
09/08/2021,1765,1765.7,1677.9,1726.5,282388,
06/08/2021,1806.7,1807,1759.5,1763.1,305778,
05/08/2021,1814.9,1817.9,1799.7,1808.9,166287,
04/08/2021,1813.7,1835.9,1808.3,1814.5,237140,
03/08/2021,1816.8,1818.2,1809.5,1814.1,101460,
02/08/2021,1817,1823.2,1808.2,1822.2,157414,
30/07/2021,1832.5,1835.5,1813.1,1817.2,152236,
29/07/2021,1811.5,1837.5,1810.9,1835.8,204918,
28/07/2021,1802.4,1813.9,1795.6,1804.6,195298,
27/07/2021,1801.5,1809.5,1796.9,1804,76707,
26/07/2021,1806.4,1816.1,1800.2,1803.4,81390,
23/07/2021,1811.5,1814.5,1793.1,1805.9,88214,
22/07/2021,1807.8,1812.3,1796,1809.2,53343,
21/07/2021,1814.7,1818.1,1798.3,1807.4,64012,
20/07/2021,1813.5,1825.9,1805.2,1811.4,216747,
19/07/2021,1811.6,1818,1795,1809.2,247651,
16/07/2021,1830.7,1832.7,1809.5,1815,181535,
15/07/2021,1828.7,1835,1820.6,1829,168788,
14/07/2021,1808.3,1831.1,1804.9,1825,204998,
13/07/2021,1806.7,1818,1798.7,1809.9,227638,
12/07/2021,1808.5,1811,1791,1805.9,188154,
09/07/2021,1803.2,1813,1796.6,1810.6,172928,
08/07/2021,1803.8,1819.5,1793.5,1800.2,234021,
07/07/2021,1797,1810.2,1794.1,1802.1,168050,
06/07/2021,1787.5,1815.7,1784.7,1794.2,273015,
02/07/2021,1777.5,1795.9,1774.4,1783.3,202365,
01/07/2021,1770.8,1783.4,1765.9,1776.8,167260,
30/06/2021,1761.9,1774.7,1753.2,1771.6,169111,
29/06/2021,1778.8,1779.2,1750.1,1763.6,232701,
28/06/2021,1782,1786.1,1770.4,1780.7,158467,
25/06/2021,1775.7,1791,1773.6,1777.8,158121,
24/06/2021,1778.2,1788.6,1772.7,1776.7,148872,
23/06/2021,1779.1,1795.6,1773.1,1783.4,175084,
22/06/2021,1783.2,1790.1,1771.2,1777.4,167293,
21/06/2021,1764.3,1786.9,1764.1,1782.9,187249,
18/06/2021,1773.9,1797.9,1761.2,1769,254641,
17/06/2021,1812.3,1826.4,1767.9,1774.8,372368,
16/06/2021,1861,1866,1804.4,1861.4,228605,
15/06/2021,1867.8,1870.9,1853,1856.4,152410,
14/06/2021,1879.6,1879.7,1845.7,1865.9,235708,
11/06/2021,1901.9,1906.2,1876.1,1879.6,213681,
10/06/2021,1891.4,1903,1871.8,1896.4,244698,
09/06/2021,1894.4,1901.7,1889.3,1895.5,143891,
08/06/2021,1901.6,1906.9,1885.7,1894.4,170166,
07/06/2021,1894.3,1902.9,1883.7,1898.8,142315,
04/06/2021,1872.7,1894.6,1891.6,1892,224522,
03/06/2021,1910.5,1876,1872.2,1873.3,269228,
02/06/2021,1903,1911.8,1896.4,1909.9,160414,
01/06/2021,1901.8,1903,1901.6,1905,283146,
28/05/2021,1899.8,1908.8,1884.3,1905.3,194069,
27/05/2021,1899.3,1901.6,1898.9,1898.5,203605,
26/05/2021,1902.4,1915.6,1893,1903.8,172696,
25/05/2021,1883.4,1903.7,1900,1900.5,174389,
24/05/2021,1885.6,1890,1877.9,1886.7,51824,
21/05/2021,1880.4,1892.3,1872.5,1878.9,51799,
20/05/2021,1872.2,1887.2,1866.2,1883.9,43110,
19/05/2021,1870.2,1874,1862,1881.5,387547,
18/05/2021,1867.3,1870.6,1868.8,1868,219676,
17/05/2021,1845.9,1867.9,1866.2,1867.6,260925,
14/05/2021,1826.4,1847.1,1819,1838.1,222090,
13/05/2021,1816.2,1829.1,1808.4,1824,238443,
12/05/2021,1838.2,1844.7,1813,1822.8,323911,
11/05/2021,1836.2,1839.2,1837.3,1836.1,294462,
10/05/2021,1835.4,1846.3,1830.5,1837.6,254657,
07/05/2021,1815.4,1833.4,1830.6,1831.3,332450,
06/05/2021,1787,1816.5,1813,1815.7,277680,
05/05/2021,1778.4,1788.1,1785.4,1784.3,176172,
04/05/2021,1793.2,1799.5,1769.2,1776,225083,
03/05/2021,1768.1,1794.1,1790.8,1791.8,198798,
30/04/2021,1772.4,1770,1764.9,1767.7,160763,
29/04/2021,1781.9,1774.5,1771.3,1768.3,222795,
28/04/2021,1776.4,1782.7,1761.8,1773.9,190626,
27/04/2021,1781.1,1785.9,1773.9,1778.8,140469,
26/04/2021,1776.1,1782.4,1780.3,1780.1,136847,
23/04/2021,1784,1796.3,1769.5,1777.8,171772,
22/04/2021,1794.5,1784.8,1778.7,1782,160685,
21/04/2021,1779.1,1795.9,1790.5,1793.1,171089,
20/04/2021,1770.5,1780.8,1763.5,1778.4,165014,
19/04/2021,1778.8,1790.4,1766.6,1770.6,178114,
16/04/2021,1764.8,1784.7,1760.3,1780.2,167944,
15/04/2021,1736.6,1766.2,1763.6,1766.8,193552,
14/04/2021,1746.4,1737.4,1736.1,1736.3,141968,
13/04/2021,1732.2,1748.1,1744.6,1747.6,170934,
12/04/2021,1744.5,1733.7,1727,1732.7,122724,
09/04/2021,1756.5,1758.2,1730.8,1744.8,165011,
08/04/2021,1738.6,1759.4,1733.6,1758.2,140648,
07/04/2021,1744.4,1744.1,1736,1741.6,118174,
06/04/2021,1729.2,1745.5,1742.2,1743,148878,
05/04/2021,1730,1734.4,1721.6,1728.8,100575,
01/04/2021,1709,1732,1706.4,1728.4,166688,
31/03/2021,1685.9,1716.3,1677.3,1715.6,205346,
30/03/2021,1713,1714.8,1678.3,1686,218812,
29/03/2021,1732.4,1734.8,1705.6,1714.6,171876,
26/03/2021,1727.5,1737.9,1721.2,1734.7,98882,
25/03/2021,1736,1732.2,1722.5,1727.3,73549,
24/03/2021,1728.2,1739.9,1724.8,1735.5,68820,
23/03/2021,1741.2,1729.3,1727.7,1727.5,62567,
22/03/2021,1747.5,1749.2,1728.6,1740.4,36260,
